seed,gse_type,log_file,plane_id,completed,turnaround_time_min,wait_unload_min,wait_load_min
4,gas,seed004_gas.log,AA4769,True,51.0,2.0,14.0
4,gas,seed004_gas.log,AA9643,True,48.0,0.0,13.0
4,gas,seed004_gas.log,AF2542,True,43.0,2.0,6.0
4,gas,seed004_gas.log,AF4102,True,57.0,9.0,13.0
4,gas,seed004_gas.log,AY2636,True,70.0,2.0,33.0
4,gas,seed004_gas.log,AY4214,True,90.0,33.0,22.0
4,gas,seed004_gas.log,BA4433,True,67.0,16.0,16.0
4,gas,seed004_gas.log,BA5818,True,48.0,1.0,12.0
4,gas,seed004_gas.log,DL135,True,56.0,1.0,20.0
4,gas,seed004_gas.log,DL2244,True,53.0,1.0,17.0
4,gas,seed004_gas.log,DL4445,True,47.0,2.0,10.0
4,gas,seed004_gas.log,EK1031,True,72.0,24.0,13.0
4,gas,seed004_gas.log,EK1222,True,82.0,17.0,30.0
4,gas,seed004_gas.log,EK7279,True,59.0,6.0,18.0
4,gas,seed004_gas.log,ET7911,True,62.0,7.0,20.0
4,gas,seed004_gas.log,ET8665,True,57.0,6.0,16.0
4,gas,seed004_gas.log,ET8983,True,48.0,1.0,12.0
4,gas,seed004_gas.log,IB4451,True,69.0,1.0,33.0
4,gas,seed004_gas.log,IB6715,True,101.0,33.0,33.0
4,gas,seed004_gas.log,IB9585,True,71.0,10.0,26.0
4,gas,seed004_gas.log,KL1300,True,52.0,2.0,15.0
4,gas,seed004_gas.log,KL1853,True,68.0,10.0,23.0
4,gas,seed004_gas.log,KL9433,True,88.0,21.0,32.0
4,gas,seed004_gas.log,LH1932,True,84.0,28.0,21.0
4,gas,seed004_gas.log,LH7608,True,48.0,0.0,13.0
4,gas,seed004_gas.log,LH9186,True,65.0,7.0,23.0
4,gas,seed004_gas.log,LX2188,True,45.0,3.0,7.0
4,gas,seed004_gas.log,LX4633,True,70.0,21.0,14.0
4,gas,seed004_gas.log,LX9205,True,52.0,5.0,12.0
4,gas,seed004_gas.log,LX9289,True,72.0,11.0,26.0
4,gas,seed004_gas.log,LX9662,True,63.0,12.0,16.0
4,gas,seed004_gas.log,MS1412,True,58.0,3.0,20.0
4,gas,seed004_gas.log,MS4445,True,64.0,10.0,19.0
4,gas,seed004_gas.log,MS8801,True,148.0,41.0,72.0
4,gas,seed004_gas.log,OS1288,True,53.0,0.0,18.0
4,gas,seed004_gas.log,OS2243,True,90.0,11.0,44.0
4,gas,seed004_gas.log,OS3435,True,113.0,27.0,51.0
4,gas,seed004_gas.log,OS4372,True,63.0,9.0,19.0
4,gas,seed004_gas.log,QF1797,True,86.0,9.0,42.0
4,gas,seed004_gas.log,QF7591,True,65.0,1.0,29.0
4,gas,seed004_gas.log,RJ2526,True,55.0,3.0,17.0
4,gas,seed004_gas.log,RJ2646,True,141.0,55.0,51.0
4,gas,seed004_gas.log,RJ3592,True,49.0,1.0,13.0
4,gas,seed004_gas.log,RJ5056,True,55.0,0.0,20.0
4,gas,seed004_gas.log,RJ690,True,48.0,2.0,11.0
4,gas,seed004_gas.log,SA1213,True,86.0,8.0,43.0
4,gas,seed004_gas.log,SA1443,True,75.0,14.0,26.0
4,gas,seed004_gas.log,SA3550,True,103.0,26.0,42.0
4,gas,seed004_gas.log,SA751,True,51.0,7.0,9.0
4,gas,seed004_gas.log,SA8766,True,96.0,9.0,52.0
4,gas,seed004_gas.log,SA9324,True,61.0,1.0,25.0
4,gas,seed004_gas.log,SK1058,True,54.0,0.0,19.0
4,gas,seed004_gas.log,SK4961,True,62.0,6.0,21.0
4,gas,seed004_gas.log,SK5247,True,68.0,0.0,33.0
4,gas,seed004_gas.log,SK6670,True,56.0,3.0,18.0
4,gas,seed004_gas.log,SN4773,True,64.0,1.0,28.0
4,gas,seed004_gas.log,SN9138,True,84.0,9.0,40.0
4,gas,seed004_gas.log,TK2747,True,111.0,17.0,59.0
4,gas,seed004_gas.log,TK4716,True,87.0,29.0,23.0
4,gas,seed004_gas.log,TK8380,True,92.0,32.0,25.0
4,gas,seed004_gas.log,UA158,True,70.0,9.0,26.0
4,gas,seed004_gas.log,UA1612,True,137.0,75.0,27.0
4,gas,seed004_gas.log,UA2797,True,62.0,4.0,23.0
4,gas,seed004_gas.log,UA5150,False,,0.0,
4,gas,seed004_gas.log,UA5238,True,63.0,8.0,20.0
4,gas,seed004_gas.log,UA921,True,93.0,42.0,16.0
6,gas,seed006_gas.log,AA4769,True,55.0,2.0,18.0
6,gas,seed006_gas.log,AA9643,True,48.0,0.0,13.0
6,gas,seed006_gas.log,AF2542,True,45.0,3.0,7.0
6,gas,seed006_gas.log,AF4102,True,56.0,8.0,13.0
6,gas,seed006_gas.log,AY2636,True,55.0,2.0,18.0
6,gas,seed006_gas.log,AY4214,True,119.0,60.0,24.0
6,gas,seed006_gas.log,BA4433,True,69.0,8.0,26.0
6,gas,seed006_gas.log,BA5818,True,50.0,3.0,12.0
6,gas,seed006_gas.log,DL135,True,67.0,15.0,17.0
6,gas,seed006_gas.log,DL2244,True,53.0,1.0,17.0
6,gas,seed006_gas.log,DL4445,True,54.0,3.0,16.0
6,gas,seed006_gas.log,EK1031,True,92.0,25.0,32.0
6,gas,seed006_gas.log,EK1222,True,102.0,8.0,59.0
6,gas,seed006_gas.log,EK7279,True,74.0,11.0,28.0
6,gas,seed006_gas.log,ET7911,True,69.0,7.0,27.0
6,gas,seed006_gas.log,ET8665,True,63.0,6.0,22.0
6,gas,seed006_gas.log,ET8983,True,55.0,5.0,15.0
6,gas,seed006_gas.log,IB4451,True,66.0,1.0,30.0
6,gas,seed006_gas.log,IB6715,True,86.0,30.0,21.0
6,gas,seed006_gas.log,IB9585,True,78.0,12.0,31.0
6,gas,seed006_gas.log,KL1300,True,83.0,2.0,46.0
6,gas,seed006_gas.log,KL1853,True,82.0,14.0,33.0
6,gas,seed006_gas.log,KL9433,True,95.0,29.0,31.0
6,gas,seed006_gas.log,LH1932,True,94.0,14.0,45.0
6,gas,seed006_gas.log,LH7608,True,48.0,0.0,13.0
6,gas,seed006_gas.log,LH9186,True,63.0,1.0,27.0
6,gas,seed006_gas.log,LX2188,True,48.0,3.0,10.0
6,gas,seed006_gas.log,LX4633,True,73.0,31.0,7.0
6,gas,seed006_gas.log,LX9205,True,48.0,1.0,12.0
6,gas,seed006_gas.log,LX9289,True,83.0,21.0,27.0
6,gas,seed006_gas.log,LX9662,True,66.0,17.0,14.0
6,gas,seed006_gas.log,MS1412,True,73.0,11.0,27.0
6,gas,seed006_gas.log,MS4445,True,62.0,6.0,21.0
6,gas,seed006_gas.log,MS8801,True,110.0,43.0,32.0
6,gas,seed006_gas.log,OS1288,True,58.0,0.0,23.0
6,gas,seed006_gas.log,OS2243,True,93.0,26.0,32.0
6,gas,seed006_gas.log,OS3435,True,95.0,29.0,31.0
6,gas,seed006_gas.log,OS4372,True,54.0,0.0,19.0
6,gas,seed006_gas.log,QF1797,True,82.0,13.0,34.0
6,gas,seed006_gas.log,QF7591,True,62.0,1.0,26.0
6,gas,seed006_gas.log,RJ2526,True,55.0,3.0,17.0
6,gas,seed006_gas.log,RJ2646,True,109.0,41.0,33.0
6,gas,seed006_gas.log,RJ3592,True,47.0,1.0,11.0
6,gas,seed006_gas.log,RJ5056,True,61.0,3.0,23.0
6,gas,seed006_gas.log,RJ690,True,59.0,13.0,11.0
6,gas,seed006_gas.log,SA1213,True,66.0,4.0,27.0
6,gas,seed006_gas.log,SA1443,True,62.0,13.0,14.0
6,gas,seed006_gas.log,SA3550,True,114.0,26.0,53.0
6,gas,seed006_gas.log,SA751,True,54.0,1.0,18.0
6,gas,seed006_gas.log,SA8766,True,66.0,10.0,21.0
6,gas,seed006_gas.log,SA9324,True,61.0,1.0,25.0
6,gas,seed006_gas.log,SK1058,True,66.0,0.0,31.0
6,gas,seed006_gas.log,SK4961,True,62.0,0.0,27.0
6,gas,seed006_gas.log,SK5247,True,59.0,4.0,20.0
6,gas,seed006_gas.log,SK6670,True,54.0,4.0,15.0
6,gas,seed006_gas.log,SN4773,True,63.0,1.0,27.0
6,gas,seed006_gas.log,SN9138,True,82.0,11.0,36.0
6,gas,seed006_gas.log,TK2747,True,89.0,29.0,25.0
6,gas,seed006_gas.log,TK4716,True,134.0,36.0,63.0
6,gas,seed006_gas.log,TK8380,True,78.0,18.0,25.0
6,gas,seed006_gas.log,UA158,True,70.0,5.0,30.0
6,gas,seed006_gas.log,UA1612,True,116.0,50.0,31.0
6,gas,seed006_gas.log,UA2797,True,60.0,5.0,20.0
6,gas,seed006_gas.log,UA5150,False,,0.0,
6,gas,seed006_gas.log,UA5238,True,84.0,8.0,41.0
6,gas,seed006_gas.log,UA921,True,99.0,35.0,29.0
1,gas,seed001_gas.log,AA4769,True,56.0,2.0,19.0
1,gas,seed001_gas.log,AA9643,True,49.0,0.0,14.0
1,gas,seed001_gas.log,AF2542,True,51.0,2.0,14.0
1,gas,seed001_gas.log,AF4102,True,58.0,9.0,14.0
1,gas,seed001_gas.log,AY2636,True,55.0,2.0,18.0
1,gas,seed001_gas.log,AY4214,True,111.0,27.0,49.0
1,gas,seed001_gas.log,BA4433,True,70.0,17.0,18.0
1,gas,seed001_gas.log,BA5818,True,50.0,3.0,12.0
1,gas,seed001_gas.log,DL135,True,55.0,0.0,20.0
1,gas,seed001_gas.log,DL2244,True,53.0,1.0,17.0
1,gas,seed001_gas.log,DL4445,True,48.0,3.0,10.0
1,gas,seed001_gas.log,EK1031,True,86.0,28.0,23.0
1,gas,seed001_gas.log,EK1222,True,77.0,25.0,17.0
1,gas,seed001_gas.log,EK7279,True,56.0,7.0,14.0
1,gas,seed001_gas.log,ET7911,True,57.0,7.0,15.0
1,gas,seed001_gas.log,ET8665,True,59.0,6.0,18.0
1,gas,seed001_gas.log,ET8983,True,49.0,0.0,14.0
1,gas,seed001_gas.log,IB4451,True,57.0,1.0,21.0
1,gas,seed001_gas.log,IB6715,True,104.0,16.0,53.0
1,gas,seed001_gas.log,IB9585,True,66.0,10.0,21.0
1,gas,seed001_gas.log,KL1300,True,53.0,2.0,16.0
1,gas,seed001_gas.log,KL1853,True,108.0,46.0,27.0
1,gas,seed001_gas.log,KL9433,True,98.0,28.0,35.0
1,gas,seed001_gas.log,LH1932,True,155.0,76.0,44.0
1,gas,seed001_gas.log,LH7608,True,54.0,0.0,19.0
1,gas,seed001_gas.log,LH9186,True,55.0,6.0,14.0
1,gas,seed001_gas.log,LX2188,True,45.0,3.0,7.0
1,gas,seed001_gas.log,LX4633,True,83.0,34.0,14.0
1,gas,seed001_gas.log,LX9205,True,48.0,1.0,12.0
1,gas,seed001_gas.log,LX9289,True,93.0,25.0,33.0
1,gas,seed001_gas.log,LX9662,True,49.0,7.0,7.0
1,gas,seed001_gas.log,MS1412,True,68.0,14.0,19.0
1,gas,seed001_gas.log,MS4445,True,63.0,9.0,19.0
1,gas,seed001_gas.log,MS8801,True,116.0,36.0,45.0
1,gas,seed001_gas.log,OS1288,True,51.0,0.0,16.0
1,gas,seed001_gas.log,OS2243,True,87.0,23.0,29.0
1,gas,seed001_gas.log,OS3435,True,99.0,32.0,32.0
1,gas,seed001_gas.log,OS4372,True,71.0,10.0,26.0
1,gas,seed001_gas.log,QF1797,True,82.0,7.0,40.0
1,gas,seed001_gas.log,QF7591,True,61.0,0.0,26.0
1,gas,seed001_gas.log,RJ2526,True,55.0,3.0,17.0
1,gas,seed001_gas.log,RJ2646,True,116.0,52.0,29.0
1,gas,seed001_gas.log,RJ3592,True,47.0,1.0,11.0
1,gas,seed001_gas.log,RJ5056,True,79.0,3.0,41.0
1,gas,seed001_gas.log,RJ690,True,64.0,9.0,20.0
1,gas,seed001_gas.log,SA1213,True,66.0,6.0,25.0
1,gas,seed001_gas.log,SA1443,True,64.0,18.0,11.0
1,gas,seed001_gas.log,SA3550,True,116.0,55.0,26.0
1,gas,seed001_gas.log,SA751,True,67.0,4.0,28.0
1,gas,seed001_gas.log,SA8766,True,64.0,9.0,20.0
1,gas,seed001_gas.log,SA9324,True,61.0,1.0,25.0
1,gas,seed001_gas.log,SK1058,True,55.0,0.0,20.0
1,gas,seed001_gas.log,SK4961,True,74.0,0.0,39.0
1,gas,seed001_gas.log,SK5247,True,61.0,0.0,26.0
1,gas,seed001_gas.log,SK6670,True,57.0,5.0,17.0
1,gas,seed001_gas.log,SN4773,True,64.0,1.0,28.0
1,gas,seed001_gas.log,SN9138,True,94.0,17.0,42.0
1,gas,seed001_gas.log,TK2747,True,94.0,12.0,47.0
1,gas,seed001_gas.log,TK4716,True,135.0,48.0,52.0
