alpha,beta,mean_tat,median_tat,std_tat,min_tat,max_tat,tat_values,n_completed,total_energy_used,avg_tasks_per_gse
0.3,0.2,295.10526315789474,244.0,237.24845842477197,54.0,925.0,"[57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 63.0, 121.0, 179.0, 239.0, 299.0, 228.0, 431.0, 343.0, 418.0, 304.0, 513.0, 521.0, 610.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",19.0,2562.520000000001,4.4375
0.3,0.3,297.96875,247.5,243.6763330186941,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",16.0,2123.479999999999,3.875
0.3,0.4,297.96875,247.5,243.6763330186941,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",16.0,2123.479999999999,3.875
0.3,0.5,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.3,0.6,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.3,0.7,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.3,0.8,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.3,0.9,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.3,1.0,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.4,0.1,231.73529411764707,193.5,181.6083874753148,43.0,686.0,"[56.0, 63.0, 54.0, 61.0, 65.0, 116.0, 182.0, 250.0, 291.0, 330.0, 378.0, 372.0, 463.0, 272.0, 486.0, 43.0, 485.0, 541.0, 554.0, 686.0, 57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 118.0, 127.0, 59.0, 205.0, 235.0, 219.0, 443.0, 336.0]",17.0,2184.439999999999,4.125
0.4,0.2,231.73529411764707,193.5,181.6083874753148,43.0,686.0,"[56.0, 63.0, 54.0, 61.0, 65.0, 116.0, 182.0, 250.0, 291.0, 330.0, 378.0, 372.0, 463.0, 272.0, 486.0, 43.0, 485.0, 541.0, 554.0, 686.0, 57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 118.0, 127.0, 59.0, 205.0, 235.0, 219.0, 443.0, 336.0]",17.0,2184.439999999999,4.125
0.4,0.3,295.10526315789474,244.0,237.24845842477197,54.0,925.0,"[57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 63.0, 121.0, 179.0, 239.0, 299.0, 228.0, 431.0, 343.0, 418.0, 304.0, 513.0, 521.0, 610.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",19.0,2562.520000000001,4.4375
0.4,0.4,297.96875,247.5,243.6763330186941,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0]",16.0,2123.479999999999,3.875
0.4,0.5,297.96875,247.5,243.6763330186941,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",16.0,2123.479999999999,3.875
0.4,0.6,317.69444444444446,299.0,244.88441938601298,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 359.0, 62.0, 140.0, 141.0, 215.0, 316.0, 322.0, 421.0, 438.0, 444.0, 523.0, 528.0, 736.0]",18.0,2414.9799999999996,4.25
0.4,0.7,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.4,0.8,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.4,0.9,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.4,1.0,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.5,0.1,231.73529411764707,193.5,181.6083874753148,43.0,686.0,"[56.0, 63.0, 54.0, 61.0, 65.0, 116.0, 182.0, 250.0, 291.0, 330.0, 378.0, 372.0, 463.0, 272.0, 486.0, 43.0, 485.0, 541.0, 554.0, 686.0, 57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 118.0, 127.0, 59.0, 205.0, 235.0, 219.0, 443.0, 336.0]",17.0,2184.439999999999,4.125
