seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min
3,electric,seed003_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
1,electric,seed001_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
0,electric,seed000_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
4,electric,seed004_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
6,electric,seed006_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
8,electric,seed008_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
7,electric,seed007_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
12,electric,seed012_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
5,electric,seed005_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
9,electric,seed009_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
2,electric,seed002_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
13,electric,seed013_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
14,electric,seed014_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
16,electric,seed016_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
10,electric,seed010_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
11,electric,seed011_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
19,electric,seed019_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
18,electric,seed018_electric.log,2026-04-22 19:07:42,12.0,720.0,7,4.0,15.0,0.5,6.666666666666667
