seed,gse_type,log_file,gse_id,total_energy_consumed_pct,tasks_completed
4,gas,seed004_gas.log,1,321.0,19
4,gas,seed004_gas.log,2,311.0,15
4,gas,seed004_gas.log,3,296.0,14
4,gas,seed004_gas.log,4,302.0,15
4,gas,seed004_gas.log,5,329.0,17
4,gas,seed004_gas.log,6,323.0,11
4,gas,seed004_gas.log,7,381.0,16
4,gas,seed004_gas.log,8,388.0,16
6,gas,seed006_gas.log,1,305.0,19
6,gas,seed006_gas.log,2,328.0,18
6,gas,seed006_gas.log,3,272.0,16
6,gas,seed006_gas.log,4,322.0,13
6,gas,seed006_gas.log,5,337.0,15
6,gas,seed006_gas.log,6,373.0,16
6,gas,seed006_gas.log,7,406.0,16
6,gas,seed006_gas.log,8,323.0,11
1,gas,seed001_gas.log,1,325.0,19
1,gas,seed001_gas.log,2,338.0,15
1,gas,seed001_gas.log,3,327.0,18
1,gas,seed001_gas.log,4,329.0,17
1,gas,seed001_gas.log,5,308.0,13
1,gas,seed001_gas.log,6,356.0,14
1,gas,seed001_gas.log,7,426.0,14
1,gas,seed001_gas.log,8,410.0,14
2,gas,seed002_gas.log,1,339.0,20
2,gas,seed002_gas.log,2,331.0,13
2,gas,seed002_gas.log,3,329.0,13
2,gas,seed002_gas.log,4,394.0,21
2,gas,seed002_gas.log,5,332.0,13
2,gas,seed002_gas.log,6,348.0,14
2,gas,seed002_gas.log,7,357.0,13
2,gas,seed002_gas.log,8,360.0,16
5,gas,seed005_gas.log,1,300.0,18
5,gas,seed005_gas.log,2,333.0,17
5,gas,seed005_gas.log,3,349.0,18
5,gas,seed005_gas.log,4,326.0,15
5,gas,seed005_gas.log,5,307.0,13
5,gas,seed005_gas.log,6,341.0,14
5,gas,seed005_gas.log,7,309.0,14
5,gas,seed005_gas.log,8,348.0,15
3,gas,seed003_gas.log,1,329.0,16
3,gas,seed003_gas.log,2,300.0,15
3,gas,seed003_gas.log,3,299.0,18
3,gas,seed003_gas.log,4,309.0,18
3,gas,seed003_gas.log,5,438.0,17
3,gas,seed003_gas.log,6,393.0,15
3,gas,seed003_gas.log,7,391.0,13
3,gas,seed003_gas.log,8,345.0,10
0,gas,seed000_gas.log,1,366.0,22
0,gas,seed000_gas.log,2,345.0,17
0,gas,seed000_gas.log,3,334.0,15
0,gas,seed000_gas.log,4,335.0,15
0,gas,seed000_gas.log,5,305.0,12
0,gas,seed000_gas.log,6,349.0,15
0,gas,seed000_gas.log,7,331.0,12
0,gas,seed000_gas.log,8,430.0,15
11,gas,seed011_gas.log,1,286.0,16
11,gas,seed011_gas.log,2,375.0,19
11,gas,seed011_gas.log,3,324.0,15
11,gas,seed011_gas.log,4,391.0,17
11,gas,seed011_gas.log,5,351.0,16
11,gas,seed011_gas.log,6,391.0,14
11,gas,seed011_gas.log,7,397.0,12
11,gas,seed011_gas.log,8,390.0,11
9,gas,seed009_gas.log,1,248.0,16
9,gas,seed009_gas.log,2,286.0,17
9,gas,seed009_gas.log,3,307.0,15
9,gas,seed009_gas.log,4,397.0,19
9,gas,seed009_gas.log,5,384.0,17
9,gas,seed009_gas.log,6,336.0,15
9,gas,seed009_gas.log,7,434.0,14
9,gas,seed009_gas.log,8,349.0,12
8,gas,seed008_gas.log,1,288.0,16
8,gas,seed008_gas.log,2,335.0,18
8,gas,seed008_gas.log,3,378.0,21
8,gas,seed008_gas.log,4,314.0,16
8,gas,seed008_gas.log,5,323.0,13
8,gas,seed008_gas.log,6,392.0,14
8,gas,seed008_gas.log,7,389.0,15
8,gas,seed008_gas.log,8,326.0,12
7,gas,seed007_gas.log,1,305.0,17
7,gas,seed007_gas.log,2,331.0,20
7,gas,seed007_gas.log,3,338.0,17
7,gas,seed007_gas.log,4,391.0,17
7,gas,seed007_gas.log,5,343.0,11
7,gas,seed007_gas.log,6,354.0,12
7,gas,seed007_gas.log,7,409.0,15
7,gas,seed007_gas.log,8,416.0,14
